ticker,volume,volume_weighted_avg_price,open_price,close_price,highest_price,lowest_price,um_timestamp,transactions,market_close,market
IBIB,17426.0,25.483,25.4949,25.5,25.5,25.48,1734123600000,46.0,2024-12-13,NYSE
XDEC,21005.0,37.2429,37.245,37.2452,37.27,37.23,1734123600000,64.0,2024-12-13,NYSE
MFSG,25777.0,25.7691,25.78,25.4646,25.78,25.4646,1734123600000,73.0,2024-12-13,NYSE
ESLA,3867.0,1.1227,1.1164,1.1937,1.22,1.1,1734123600000,58.0,2024-12-13,NYSE
ALF,28219.0,10.0994,10.083,10.1001,10.1001,10.083,1734123600000,19.0,2024-12-13,NYSE
TFINP,12066.0,23.6814,23.69,23.66,23.72,23.65,1734123600000,29.0,2024-12-13,NYSE
PLPC,13867.0,131.9626,132.25,132.83,132.83,130.35,1734123600000,1161.0,2024-12-13,NYSE
EATV,3447.0,17.6299,17.6057,17.7162,17.7162,17.6057,1734123600000,24.0,2024-12-13,NYSE
LSGR,2137.0,40.1715,40.5,40.22,40.5,40.04,1734123600000,34.0,2024-12-13,NYSE
LFLYW,3149.0,0.02135,0.0212,0.0212,0.0214,0.0212,1734123600000,17.0,2024-12-13,NYSE
ATNFW,52512.0,0.009021,0.0106,0.0082,0.0109,0.0078,1734123600000,26.0,2024-12-13,NYSE
FCAP,2507.0,29.3467,29.0,29.25,30.0,28.5,1734123600000,139.0,2024-12-13,NYSE
OILT,1724.0,24.9578,25.0,24.9008,25.0,24.8766,1734123600000,46.0,2024-12-13,NYSE
BNT,5836.0,58.941,59.45,58.72,59.45,58.66,1734123600000,253.0,2024-12-13,NYSE
IMTE,8619.0,1.2646,1.26,1.25,1.2926,1.22,1734123600000,38.0,2024-12-13,NYSE
HSCS,24474.0,3.8645,4.0037,3.7681,4.0299,3.75,1734123600000,243.0,2024-12-13,NYSE
ADGM,9713.0,2.0525,2.15,2.02,2.16,2.0,1734123600000,174.0,2024-12-13,NYSE
FLGpU,3735.0,38.4512,38.3,38.72,38.72,38.0001,1734123600000,104.0,2024-12-13,NYSE
AETH,8382.0,49.4933,49.93,49.3758,49.93,49.0499,1734123600000,138.0,2024-12-13,NYSE
LXEH,3320.0,2.4316,2.44,2.4,2.45,2.4,1734123600000,38.0,2024-12-13,NYSE
TRAW,4442.0,4.7435,4.67,4.6501,4.71,4.619,1734123600000,205.0,2024-12-13,NYSE
LRFC,19023.0,25.3689,25.0823,25.4,25.6,25.05,1734123600000,150.0,2024-12-13,NYSE
CODIpA,36986.0,22.9694,22.845,23.015,23.0372,22.84,1734123600000,157.0,2024-12-13,NYSE
HYGI,1485.0,26.8886,26.8873,26.8653,26.8873,26.8653,1734123600000,58.0,2024-12-13,NYSE
NIOBW,116618.0,0.1119,0.124,0.096,0.1248,0.095,1734123600000,266.0,2024-12-13,NYSE
